The autoreload extension is already loaded. To reload it, use:
  %reload_ext autoreload
Bond dimension sensitivity to a  (n_per_coord = 6, 18 qubits, 64³ grid)

 Orbital       a   max χ   χ(x|y)  full bond profile
      2S     0.4      44       13  [2, 4, 7, 12, 17, 13, 26, 32, 44, 43, 25, 13, 25, 16, 8, 4, 2]
      2S     0.5      51       14  [2, 4, 8, 14, 20, 14, 28, 37, 51, 48, 27, 14, 26, 16, 8, 4, 2]
      2S     0.6      58       15  [2, 4, 8, 15, 22, 15, 30, 41, 58, 51, 29, 15, 27, 16, 8, 4, 2]
      2S     0.7      62       16  [2, 4, 8, 16, 24, 16, 31, 43, 62, 54, 30, 16, 27, 16, 8, 4, 2]
      2S     0.8      65       16  [2, 4, 8, 16, 25, 16, 32, 46, 65, 56, 32, 16, 27, 16, 8, 4, 2]
      2S     0.9      71       17  [2, 4, 8, 16, 26, 17, 34, 49, 71, 58, 34, 17, 27, 16, 8, 4, 2]
      2S     1.0      71       17  [2, 4, 8, 16, 27, 17, 34, 49, 71, 60, 34, 18, 27, 16, 8, 4, 2]
      2S     1.1      74       18  [2, 4, 8, 16, 27, 18, 36, 51, 74, 61, 35, 18, 28, 16, 8, 4, 2]
      2S     1.2      72       18  [2, 4, 8, 16, 27, 18, 35, 51, 72, 62, 35, 18, 27, 16, 8, 4, 2]
      2S     1.3      76       18  [2, 4, 8, 16, 28, 18, 36, 53, 76, 62, 35, 18, 27, 16, 8, 4, 2]
      2S     1.4      77       18  [2, 4, 8, 16, 28, 18, 36, 52, 77, 63, 36, 18, 27, 16, 8, 4, 2]
      2S     1.5      76       19  [2, 4, 8, 16, 28, 19, 37, 52, 76, 63, 35, 19, 27, 16, 8, 4, 2]
      2S     1.6      78       19  [2, 4, 8, 16, 28, 19, 37, 54, 78, 64, 37, 19, 27, 16, 8, 4, 2]
      2S     1.7      78       18  [2, 4, 8, 16, 29, 18, 36, 53, 78, 64, 36, 18, 27, 16, 8, 4, 2]
      2S     1.8      77       18  [2, 4, 8, 16, 28, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      2S     1.9      79       19  [2, 4, 8, 16, 29, 19, 38, 54, 79, 65, 36, 19, 27, 16, 8, 4, 2]
      2S     2.0      79       19  [2, 4, 8, 16, 29, 19, 37, 54, 79, 65, 37, 19, 27, 16, 8, 4, 2]
      2S     2.1      79       19  [2, 4, 8, 16, 29, 19, 37, 53, 79, 65, 37, 19, 27, 16, 8, 4, 2]
      2S     2.2      79       18  [2, 4, 8, 16, 29, 18, 36, 54, 79, 64, 36, 19, 27, 16, 8, 4, 2]
      2S     2.3      78       19  [2, 4, 8, 16, 30, 19, 37, 53, 78, 64, 36, 19, 27, 16, 8, 4, 2]
      2S     2.4      79       19  [2, 4, 8, 16, 29, 19, 38, 55, 79, 65, 37, 19, 27, 16, 8, 4, 2]
      2S     2.5      79       19  [2, 4, 8, 16, 29, 19, 37, 54, 79, 65, 37, 19, 27, 16, 8, 4, 2]
      2S     2.6      79       19  [2, 4, 8, 16, 30, 19, 37, 53, 79, 65, 37, 19, 27, 16, 8, 4, 2]
      2S     2.7      78       18  [2, 4, 8, 16, 29, 18, 36, 53, 78, 64, 37, 19, 27, 16, 8, 4, 2]
      2S     2.8      80       18  [2, 4, 8, 16, 29, 18, 36, 54, 80, 64, 36, 19, 27, 16, 8, 4, 2]
      2S     2.9      79       19  [2, 4, 8, 16, 30, 19, 37, 53, 79, 64, 36, 19, 27, 16, 8, 4, 2]
      2S     3.0      79       19  [2, 4, 8, 16, 29, 19, 37, 54, 79, 64, 37, 19, 27, 16, 8, 4, 2]
      2S     3.1      80       19  [2, 4, 8, 16, 29, 19, 38, 55, 80, 65, 37, 19, 27, 16, 8, 4, 2]
      2S     3.2      80       19  [2, 4, 8, 16, 29, 19, 37, 54, 80, 65, 37, 19, 27, 16, 8, 4, 2]
      2S     3.3      79       19  [2, 4, 8, 16, 30, 19, 37, 53, 79, 65, 37, 19, 27, 16, 8, 4, 2]
      2S     3.4      79       19  [2, 4, 8, 16, 30, 19, 37, 53, 79, 65, 37, 19, 27, 16, 8, 4, 2]
      2S     3.5      78       18  [2, 4, 8, 16, 29, 18, 36, 54, 78, 64, 37, 19, 27, 16, 8, 4, 2]
      2S     3.6      78       18  [2, 4, 8, 16, 29, 18, 36, 54, 78, 64, 36, 19, 27, 16, 8, 4, 2]
      2S     3.7      78       18  [2, 4, 8, 16, 29, 18, 36, 54, 78, 64, 36, 19, 27, 16, 8, 4, 2]
      2S     3.8      78       19  [2, 4, 8, 16, 30, 19, 36, 53, 78, 64, 36, 19, 27, 16, 8, 4, 2]
      2S     3.9      78       19  [2, 4, 8, 16, 30, 19, 37, 54, 78, 64, 37, 19, 27, 16, 8, 4, 2]
      2S     4.0      79       19  [2, 4, 8, 16, 29, 19, 37, 54, 79, 64, 37, 19, 27, 16, 8, 4, 2]
      2S     4.1      79       19  [2, 4, 8, 16, 29, 19, 37, 54, 79, 64, 37, 19, 26, 16, 8, 4, 2]
      2S     4.2      79       19  [2, 4, 8, 16, 29, 19, 38, 54, 79, 65, 36, 19, 26, 16, 8, 4, 2]
      2S     4.3      79       19  [2, 4, 8, 16, 29, 19, 37, 54, 79, 64, 36, 19, 26, 16, 8, 4, 2]
      2S     4.4      79       19  [2, 4, 8, 16, 29, 19, 37, 53, 79, 64, 37, 19, 26, 16, 8, 4, 2]
      2S     4.5      78       19  [2, 4, 8, 16, 30, 19, 37, 53, 78, 64, 37, 19, 26, 16, 8, 4, 2]
      2S     4.6      78       19  [2, 4, 8, 16, 30, 19, 37, 53, 78, 64, 37, 19, 26, 16, 8, 4, 2]
      2S     4.7      78       19  [2, 4, 8, 16, 29, 19, 37, 53, 78, 63, 37, 19, 26, 16, 8, 4, 2]
      2S     4.8      78       18  [2, 4, 8, 16, 29, 18, 36, 53, 78, 63, 36, 18, 26, 16, 8, 4, 2]
      2S     4.9      78       18  [2, 4, 8, 16, 29, 18, 36, 54, 78, 63, 36, 18, 26, 16, 8, 4, 2]
      2S     5.0      78       18  [2, 4, 8, 16, 29, 18, 36, 54, 78, 63, 36, 19, 26, 16, 8, 4, 2]
      2S     5.1      78       18  [2, 4, 8, 16, 29, 18, 36, 53, 78, 64, 36, 19, 26, 16, 8, 4, 2]
      2S     5.2      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 64, 36, 19, 26, 16, 8, 4, 2]
      2S     5.3      77       18  [2, 4, 8, 16, 30, 18, 36, 53, 77, 64, 36, 19, 26, 16, 8, 4, 2]
      2S     5.4      77       18  [2, 4, 8, 16, 30, 18, 36, 53, 77, 64, 36, 19, 26, 16, 8, 4, 2]
      2S     5.5      77       19  [2, 4, 8, 16, 30, 19, 36, 53, 77, 64, 36, 19, 26, 16, 8, 4, 2]
      2S     5.6      77       19  [2, 4, 8, 16, 30, 19, 36, 53, 77, 64, 36, 19, 26, 16, 8, 4, 2]
      2S     5.7      77       19  [2, 4, 8, 16, 29, 19, 36, 53, 77, 64, 36, 19, 26, 16, 8, 4, 2]
      2S     5.8      77       19  [2, 4, 8, 16, 29, 19, 37, 53, 77, 64, 36, 19, 26, 16, 8, 4, 2]
      2S     5.9      78       19  [2, 4, 8, 16, 29, 19, 37, 53, 78, 64, 36, 19, 26, 16, 8, 4, 2]
      2S     6.0      78       19  [2, 4, 8, 16, 29, 19, 36, 53, 78, 63, 36, 19, 26, 16, 8, 4, 2]
	  
	  
	  
The autoreload extension is already loaded. To reload it, use:
  %reload_ext autoreload
Bond dimension sensitivity to a  (n_per_coord = 6, 18 qubits, 64³ grid)

 Orbital       a   max χ   χ(x|y)  full bond profile
───────────────────────────────────────────────────────────────────────────
      1S     0.1       5        3  [2, 2, 2, 2, 3, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 2]
      1S     0.4      27        9  [2, 2, 4, 6, 11, 9, 17, 17, 22, 27, 17, 9, 17, 16, 8, 4, 2]
      1S     0.8      40       12  [2, 4, 6, 10, 16, 12, 24, 28, 38, 40, 23, 12, 23, 16, 8, 4, 2]
      1S     1.1      49       14  [2, 4, 8, 13, 20, 14, 28, 36, 49, 47, 27, 14, 25, 16, 8, 4, 2]
      1S     1.5      58       15  [2, 4, 8, 16, 23, 15, 30, 41, 58, 52, 30, 16, 27, 16, 8, 4, 2]
      1S     1.8      64       16  [2, 4, 8, 16, 25, 16, 32, 45, 64, 56, 32, 17, 27, 16, 8, 4, 2]
      1S     2.1      69       17  [2, 4, 8, 16, 26, 17, 34, 49, 69, 58, 33, 17, 27, 16, 8, 4, 2]
      1S     2.5      72       18  [2, 4, 8, 16, 27, 18, 34, 50, 72, 60, 34, 18, 27, 16, 8, 4, 2]
      1S     2.8      74       18  [2, 4, 8, 16, 28, 18, 35, 51, 74, 61, 35, 18, 27, 16, 8, 4, 2]
      1S     3.2      76       18  [2, 4, 8, 16, 28, 18, 36, 51, 76, 62, 35, 18, 27, 16, 8, 4, 2]
      1S     3.5      76       18  [2, 4, 8, 16, 28, 18, 36, 53, 76, 62, 35, 18, 27, 16, 8, 4, 2]
      1S     3.9      77       18  [2, 4, 8, 16, 28, 18, 36, 53, 77, 63, 36, 18, 27, 16, 8, 4, 2]
      1S     4.2      77       18  [2, 4, 8, 16, 28, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     4.5      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     4.9      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.2      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.6      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.9      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     6.2      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 26, 16, 8, 4, 2]
      1S     6.6      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 26, 16, 8, 4, 2]
      1S     6.9      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 26, 16, 8, 4, 2]
      1S     7.3      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 26, 16, 8, 4, 2]
      1S     7.6      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 26, 16, 8, 4, 2]
      1S     8.0      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 62, 36, 19, 26, 16, 8, 4, 2]
      1S     8.3      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 62, 36, 19, 26, 16, 8, 4, 2]
      1S     8.6      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 62, 36, 19, 26, 16, 8, 4, 2]
      1S     9.0      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 62, 36, 19, 26, 16, 8, 4, 2]
